title,release_date,runtime,genre/s,description,image,trailer,actors,director,writers
Uno de los nuestros,"
19 de octubre de 1990
",PT02H25M00S,"Suspense,Drama","'Uno de los nuestros es una película basada en el libro de Nicholas Pileggi llamado &quot;Wiseguy&quot;. Henry Hill, es un aspirante a mafioso que intenta abrirse camino junto a sus amigos, Jimmy Conway y Tommy De Vito, en la difícil jerarquía de la mafia. Para ello deben dar varios golpes, introduciéndose en negocios cada vez más peligrosos. Finalmente Henry termina en el programa de protección de testigos del FBI después de testificar en contra de sus antiguos socios.",/movie_images/Uno de los nuestros.jpg,https://www.sensacine.com/peliculas/pelicula-5969/trailer-19434037/,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco",Martin Scorsese,"Nicholas Pileggi,Martin Scorsese,Nicholas Pileggi"
El caballero oscuro,"
13 de agosto de 2008
",PT02H32M00S,"Acción,Suspense","Después de derrotar a la Orden de las Sombras y frustrar al jefe de la mafia Carmine Falcone en 'Batman Begins', Bruce Wayne vuelve a enfundarse el traje del hombre murciélago para combatir el crimen en Gotham.Con Falcone fuera, el mafioso Salvatore Maroni se ha hecho con el control en la ciudad y parece que la lucha de Batman frente a los criminales será interminable. Por suerte, la ciudad cuenta ahora con Harvey Dent, un nuevo Fiscal del Distrito caracterizado por su mano dura contra el crimen, lo que da un aire de esperanza a Gotham y permite que Bruce se centre en Rachel Dawes, el amor de su vida y la única que conoce su verdadera identidad.Sin embargo, la llegada de un nuevo villano a la ciudad destruirá todos los planes de Batman. Se trata de El Joker, un psicópata retorcido y sádico, con una morbosa fascinación por todo lo que rodea al murciélago. Pronto comenzará a sembrar el pánico y a causar estragos en Gotham, convirtiéndose en el peor enemigo posible para El caballero oscuro.",/movie_images/El caballero oscuro.jpg,https://www.sensacine.com/peliculas/pelicula-115362/trailer-18820390/,"Christian Bale,Heath Ledger,Aaron Eckhart,Maggie Gyllenhaal",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,David S. Goyer,Bob Kane,Bob Kane,Christopher Nolan,David S. Goyer"
El Exorcista,"
1 de septiembre de 1975
",PT02H01M00S,Terror,"En Iraq, el Padre Merrin queda profundamente turbado por el descubrimiento de una figurilla del demonio Pazuzu y las macabras visiones que ésta provoca. Mientras tanto, en Washington, en la casa de la actriz Chris MacNeil se están produciendo extraños fenómenos: la despiertan extraños sonidos que vienen del granero y su hija Regan se queja de que su cama se mueve. Algunos días más tarde, Regan interrumpe una recepción organizada por Chris amenazando de muerte al realizador Burke Dennings.

Las crisis se hacen cada vez más frecuentes. Presa de violentos espasmos, la adolescente se vuelve irreconocible y tras realizarle diversas pruebas médicas, de las que no sacan ninguna conclusión, Chris decide acudir a un exorcista. La Iglesia autoriza al Padre Damien Karras a oficiarlo en compañía del Padre Merrin. El demonio, apoderado del cuerpo de Regan, se burla de los dos sacerdotes, amenazándoles mientras intentan expulsarle del cuerpo de la niña. Karras es atacado por el demonio, que se mete en su cuerpo, y acaba tirándose por la ventana de la habitación. Regan despierta de su pesadilla sin saber qué ha pasado. Tras recuperarse de su terrible experiencia, Chris y Regan se marchan de Georgetown.

Dirigida por el cineasta americano William Friedkin ('Reglas de compromiso', 'Killer Joe'), 'El Exorcista' consiguió, en el año 1974, dos estatuillas de oro en la categoría de Mejor Sonido y Mejor Guión Adaptado, aparte de conseguir siete nominaciones al Oscar más. En los Globos de Oro también logró cuatro premios a la Mejor Película, al Mejor Director, al Mejor Guión y a la Mejor Actriz Secundaria. Todo un clásico de terror protagonizado por Ellen Burstyn ('Réquiem por un sueño'), Linda Blair ('El exorcista. El montaje del director') y Max von Sydow ('Shutter Island').",/movie_images/El Exorcista.jpg,https://www.sensacine.com/peliculas/pelicula-27765/trailer-19374718/,"Linda Blair,Ellen Burstyn,Max von Sydow,Jason Miller",William Friedkin,"William Peter Blatty,William Peter Blatty"
Los Goonies,"
24 de julio de 1985
",PT01H41M00S,"Aventura,Comedia,Familia,Fantasía","Mikey (Sean Astin) y Brandon (Josh Brolin) son dos hermanos que están tratando de quemar al máximo los pocos días que les quedan en el barrio donde se criaron. Están tristes porque una empresa planea destruir la manzana en la que viven para construir un campo de golf. A menos que los vecinos logren recaudar una importante suma de dinero para frenar la destrucción del barrio, los planes seguirán adelante. Es entonces cuando, un día, los hermanos descubren el mapa del tesoro de un pirata. Junto a sus amigos, intentarán descubrir y desenterrar la fortuna que puede salvarlos.
Lawrence &quot;Chunk&quot; Cohen (Jeff Cohen), Clark &quot;Mouth&quot; Devereaux (Corey Feldman), Andrea &quot;Andy&quot; Carmichael (Kerri Green), Stefanie &quot;Stef&quot; Steinbrenner (Martha Plimpton) y Richard &quot;Data&quot; (Jonathan Ke Quan), junto a los Walsh, se hacen llamar así mismos 'Los Goonies'. Su ingenio y su aparente inocencia les conducirán directos a una misteriosa cueva donde se esconde el tesoro.&amp;nbsp; Pero no todo será fácil, ya que en la entrada de la caverna les esperan los primeros enemigos. ¿Conseguirán 'Los Goonies' alcanzar el deseado tesoro?",/movie_images/Los Goonies.jpg,https://www.sensacine.com/peliculas/pelicula-1051/trailer-19533879/,"Sean Astin,Josh Brolin,Corey Feldman,Jeff Cohen",Richard Donner,"Steven Spielberg,Chris Columbus"
Gran Torino,"
6 de marzo de 2009
",PT01H56M00S,"Drama,Suspense","Walt Kowalski (Clint Eastwood, ‘Harry, el sucio’) es un ex mecánico jubilado de mal carácter que, tras la muerte de su mujer, vive resentido y apesadumbrado. Su día a día consiste en hacer pequeñas reparaciones domésticas, beber cerveza en el porche de su casa y sus únicas relaciones sociales son las que mantiene cuando visita al barbero una vez al mes. Cuando una familia de Hmong se muda a la casa de al lado, a este veterano de la Guerra de Corea no le hace ninguna gracia. Ahora que no le gusta nada de lo que le rodea, tan sólo le queda disfrutar de su Gran Torino, el que conserva como el primer día que se lo compró. Una noche, Tao (Bee Vang), el pequeño de los Hmong, intenta robar el coche forzado por sus primos, aunque Walt lo impide. La madre del joven insiste en que Tao pague su deuda ayudando a Walt en su casa y a partir de entonces nace una relación muy especial entre ambos que cambiará sus vidas para siempre.",/movie_images/Gran Torino.jpg,https://www.sensacine.com/peliculas/pelicula-135063/trailer-18843079/,"Clint Eastwood,Bee Vang,Ahney Her,Geraldine Hughes",Clint Eastwood,"Nick Schenk,Dave Johannson"
Alguien voló sobre el nido del cuco,"
7 de octubre de 1976
",PT02H09M00S,Drama,"Randle P. Murphy (Jack Nicholson, 'A propósito de Schmidt') es un hombre de espíritu libre con fuego en las venas y lengua desatada. No tiene miedo a vivir a contracorriente. De hecho, su forma de ganarse la vida no es nada normal, ya que estafa y lleva a cabo pequeños atracos. Un día es atrapado por la policía y, en lugar de ir a prisión, es ingresado en un psiquiátrico. Allí encuentra un ambiente opresivo, dominado por la férrea enfermera Ratched. Los pacientes apenas tienen libertad ni momentos de ocio. La llegada de Randle supone toda una revolución en el centro, pero su conducta propensa al desorden le lleva a tener más de un problema con el personal sanitario, que intenta aplacarle por todos los métodos posibles.",/movie_images/Alguien voló sobre el nido del cuco.jpg,https://www.sensacine.com/peliculas/pelicula-2072/trailer-19537951/,"Michael Berryman,Dean R. Brooks,Jack Nicholson,Louise Fletcher",Milos Forman,"Bo Goldman,Lawrence Hauben,Ken Kesey"
Seven,"
12 de enero de 1996
",PT02H10M00S,"Crimen,Suspense","Somerset es un veterano detective que se encuentra a punto de jubilarse y que conoce al joven policia Mills. Juntos deberán investigar el asesinato de un hombre obeso que ha sido atado y obligado a comer hasta la muerte. Los crímenes se suceden mientras los dos detectives muestran sus talantes opuestos, uno paciente y racional, y el joven más impetuoso.Pronto averiguan que los crímenes son obra de la misma persona, ya que ésta deja numerosas anotaciones procedentes de diversas lecturas que ha ido realizando de una serie de libros de temática religiosa. De este modo, Somerset y Mills no tardan mucho en descubrir que la serie de asesinatos está inspirada en los siete pecados capitales: cada uno de los muertos había incurrido en éste u otro pecado, y había sufrido un terrible castigo en consonancia. La pareja de detectives, pese a sus grandes diferencias, tendrá que trabajar duro para conseguir detener a un asesino fanático y meticuloso que siempre parece ir un paso por delante de ellos, pues los asesinatos no dejan de sucederse y la lista de pecados se va acortando dramáticamente.",/movie_images/Seven.jpg,https://www.sensacine.com/peliculas/pelicula-13892/trailer-19361088/,"Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Kevin Spacey",David Fincher,Andrew Kevin Walker
En busca del arca perdida,"
9 de octubre de 1981
",PT01H56M00S,"Aventura,Acción","Corre el año 1936. La Alemania Nazi está expandiendo su reinado de terror y represión. Lejos de allí, el doctor Indiana Jones (Harrison Ford) se encuentra en plena jungla peruana, buscando un valioso ídolo que, al parecer, no ansía él solo. Cuando cree estar a salvo de los peligros que custodian la reliquia, el aventurero cae en una emboscada tendida por su adversario más tenaz, el francés René Belloq (Paul Freeman). Por suerte, logra escapar.De vuelta a su vida civilizada como profesor universitario de arqueología, Jones recibe órdenes del servicio secreto americano y de su amigo Marcus Brody, conservador del Museo Nacional de Washington. Debe conseguir el Medallón de Ra, un artefacto egipcio de gran valor que podría conducir hasta la mismísima Arca de la Alianza, la misma en la que Moisés guardó los Diez Mandamientos. Una pieza histórica con poderes inimaginables que Hitler quiere encontrar... El problema es que el medallón está en manos de su ex-amante, Marion Ravenwood (Karen Allen), que regenta un bar en el Tíbet y no está dispuesta a cedérselo así como así.",/movie_images/En busca del arca perdida.jpg,https://www.sensacine.com/peliculas/pelicula-121/trailer-19514859/,"Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies",Steven Spielberg,"Philip Kaufman,Lawrence Kasdan,George Lucas"
Un don excepcional,"
30 de junio de 2017
",PT01H41M00S,Drama,"Frank Adler (Chris Evans) es un hombre soltero que está criando a su sobrina Mary (Mckenna Grace), una niña de siete años con unas extraordinarias habilidades para las matemáticas. Su abuela Evelyn (Lindsay Duncan) lo sabe bien. Mientras Frank intenta que su sobrina lleve una vida normal, como cualquier niño de su edad, y que disfrute de su infancia, Evelyn tiene otros planes para la niña, y pretende potenciar sus habilidades. Como consecuencia, Frank se verá obligado a luchar desesperadamente por su custodia.Dirigida por Marc Webb (500 días juntos, The Amazing-Spiderman), este drama cuenta en su reparto con los actores Chris Evans (Capitán América: Civil War), Octavia Spencer (Figuras ocultas), Lindsay Duncan (The Leftovers), Jenny Slate (Parks and Recreation), Glenn Plummer (Hijos de la Anarquía), John Finn (Navy: Investigación criminal)&amp;nbsp;y la niña Mckenna Grace.",/movie_images/Un don excepcional.jpg,https://www.sensacine.com/peliculas/pelicula-240263/trailer-19553653/,"Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer",Marc Webb,Tom Flynn
Criadas y Señoras (The Help),"
28 de octubre de 2011
",PT02H26M00S,Drama,"Ambientada en el Mississippi de los años sesenta, narra la historia de Skeeter (Emma Stone, 'Rumores y mentiras'), una joven sureña de Estados Unidos que vuelve de la universidad con el sueño de convertirse en escritora. Pronto revoluciona a los habitantes de la ciudad, cuando decide entrevistar a mujeres negras que se han pasado sus vidas cuidando a familias de la zona y se enfrentará con la señoras blancas que las tienen a su cargo, comenzando un conflicto social que revolucionará la visión de las cosas.Pese al peligro que esto puede conllevar para las antiguas amistades de Skeeter, la colaboración entre ella y Aibileen (Viola Davis, 'La duda'), el ama de llaves de su mejor amiga, continúa, y pronto más mujeres se decidirán a contar sus historias.Completan el reparto Bryce Dallas Howard ('La joven del agua'), Jessica Chastain ('El árbol de la vida'), Octavia Spencer ('Siete almas'), Allison Janney ('La vida en los tiempos de guerra') y Sissy Spacek ('Carrie'). Dirige el también actor Tate Taylor (al que hemos visto en películas como 'Winter's Bone' o 'El planeta de los simios').",/movie_images/Criadas y Señoras (The Help).jpg,https://www.sensacine.com/peliculas/pelicula-176673/trailer-19226435/,"Emma Stone,Jessica Chastain,Viola Davis,Bryce Dallas Howard",Tate Taylor,Tate Taylor
"Snatch, cerdos y diamantes","
3 de noviembre de 2000
",PT01H43M00S,"Crimen,Comedia","Franky (Benicio del Toro, 'Che, el argentino') acaba de robar un enorme diamante que debe entregar a Avi (Dennis Farina), un mafioso neoyorquino. Por el camino, hace escala en Londres, donde se deja convencer por Boris (Rade Serbedzija, 'La pequeña Venecia') para apostar en un combate de boxeo clandestino. Lo que no sabe es que se trata de una trampa montada por los promotores del combate Vinny (Robbie Gee) y Sol (Lennie James) para arrebatarle la magnífica gema. Avi conoce a la perfección los problemas de su chico con el juego, por lo que en cuanto se entera de la trampa no duda en desplazarse a Londres y contratar los servicios de Tony (Vinnie Jones, 'El vagón de la muerte'), una leyenda del gatillo, que le ayudará a recuperar el codiciado diamante.Por otro lado, el Turco (Jason Statham, 'Transporter') y Tommy (Stephen Graham) tienen un problema con su boxeador (Brad Pitt, 'Malditos bastardos'), un gitano completamente chiflado que se niega a dejarse vencer en el cuarto &quot;round&quot; como previamente habían acordado, y ahora se hallan en el punto de mira de El Ladrillo (Alan Ford), un gángster psicópata que se la tiene jurada.&amp;nbsp;Ambas historias se entrecruzarán de manera disparatada, violenta y muy, muy divertida.","/movie_images/Snatch, cerdos y diamantes.jpg",https://www.sensacine.com/peliculas/pelicula-26251/trailer-19362103/,"Jason Statham,Brad Pitt,Vinnie Jones,Stephen Graham",Guy Ritchie,Guy Ritchie
Iron Man,"
30 de abril de 2008
",PT02H06M00S,"Acción,Ciencia ficción","Tony Stark (Robert Downey Jr., 'Chaplin'), dueño de Industrias Stark, inventor consagrado, vendedor de armas y playboy multimillonario, es secuestrado en Afganistán después de una demostración armamentística para el Ejército de los Estados Unidos. Forzado por sus captores a fabricar un arma temible, acaba construyendo en secreto una armadura de alta tecnología revolucionaria que usa para escaparse. Cuando comprende el gran potencial de la armadura, decide revisarla para mejorarla y, así, utilizarla para guardar la justicia y proteger a los inocentes. Después de ser rescatado por James Rhodes (Terrence Howard, 'Crash'), decide desligarse de la producción de armamento militar, lo que deja en evidencia la empresa familiar. Obadiah Stane (Jeff Bridges, 'El gran Lebowski'), el administrador de la misma, le advierte que esa decisión les puede llevar a la ruina.A oídos de Toni llega que varias de las armas de su empresa han llegado al grupo de terroristas que le secuestró en Afganistán. Le pide a su secretaria, &quot;Pepper&quot; Potts (Gwyneth Paltrow, 'Shakespeare in Love'), que piratee el sistema informativo de su propia empresa para descubrir quien ha permitido tales actividades. Al final descubren que el propio Stane lleva una doble vida, intentando reproducir la armadura robótica de Toni para su propio beneficio, por lo que tendrán que detenerlo.'Iron Man' es la adaptación cinematográfica del famoso cómic de Marvel, creado por Stan Lee y Jack Kirby en 1963.",/movie_images/Iron Man.jpg,https://www.sensacine.com/peliculas/pelicula-53751/trailer-18817914/,"Robert Downey Jr.,Terrence Howard,Gwyneth Paltrow,Jeff Bridges",Jon Favreau,"Arthur Marcum,Matt Holloway,Mark Fergus,Hawk Ostby,Art Marcum,Stan Lee,Stan Lee,Don Heck,Larry Lieber,Jack Kirby"
300,"
23 de marzo de 2007
",PT01H55M00S,"Épico,Acción,Guerra,Histórico","Basada en la novela gráfica homónima desarrollada por Frank Miller y Lynn Varley, narra la famosa batalla de las Termópilas en la que un reducido ejército de 300 soldados liderados por Leónidas, rey de Esparta, luchó contra el innumerable y superior ejército persa dirigido por el emperador Jerjes. Jerjes estaba dispuesto a conquistar Grecia, intención que acabaría provocando el estallido de las Guerras Médicas. Cuando el emperador le ofrece a Leónidas pagar un tributo a cambio de su rendición, éste se niega en redondo y decide plantar cara al ejército persa dirigiendo a sus 300 hombres recién reclutados hacia el paso de las Termópìlas para detener el avance del enemigo. Leónidas es consciente de que su número es ínfimo comparado con las enormemente pertrechadas filas de los persas, pero cuenta con toda su habilidad en batalla y la de sus hermanos espartanos para hacerlas frente.La valentía de los hombres espartanos que defendieron su honor ante toda adversidad, inspiraron a la polis Griega que se unió contra los persas, instaurando la base de lo que más tarde sería una democracia.",/movie_images/300.jpg,https://www.sensacine.com/peliculas/pelicula-57529/trailer-19359525/,"Gerard Butler,Lena Headey,Rodrigo Santoro,David Wenham",Zack Snyder,"Zack Snyder,Kurt Johnstad,Frank Miller,Lynn Varley,Michael B. Gordon,Frank Miller,Lynn Varley"
Doctor Strange (Doctor Extraño),"
28 de octubre de 2016
",PT01H55M00S,"Fantasía,Aventura","El doctor Stephen Strange (Benedict Cumberbatch) es un reputado neurocirujano de Nueva York. Todo lo que tiene de brillante y talentoso también lo tiene de arrogante y vanidoso. Pero su vida no volverá a ser la misma después de que un terrible accidente de tráfico le prive del uso de las manos. Con sus manos dañadas, no puede ejercer su profesión y esto arruinará por completo su carrera. Después de varias intervenciones quirúrgicas realizadas por su compañero, el doctor Nicodemus West (Michael Stuhlbarg), las manos de Stephen consiguen recuperar su movilidad parcial, aunque no la pericia necesaria para volver a operar. Al ver fracasar la medicina tradicional, Strange se ve obligado a buscar una curación y también una esperanza en un extraño lugar. Realizará entonces un viaje de sanación al Himalaya, a un misterioso enclave conocido con el nombre de Kamar-Taj, donde su vida volverá a cambiar para siempre. Será entonces cuando conozca a El Anciano (Tilda Swinton), quien le enseñará que el mundo en el que vive es tan solo una realidad entre muchas. Descubrirá así un mundo oculto de dimensiones mágicas y, durante su entrenamiento con el maestro místico, se revelarán sus poderes psíquicos, como la telepatía, la proyección astral o el teletransporte, que empleará para combatir al mal. Dotado de los poderes mágicos que acaba de adquirir, Strange, se verá obligado a elegir entre regresar a su vida de privilegios y estatus social o dejarlo todo para defender el mundo de fuerzas oscuras e invisibles dispuestas a destruir nuestra realidad.Basada en el personaje de Marvel Comics, creado por Stan Lee y Steve Ditko en el año 1963, la película está dirigida por Scott Derrickson (Sinister, Ultimátum a la Tierra, El exorcismo de Emily Rose). Su protagonista es Benedict Cumberbatch (Black Mass. Estrictamente criminal, The Imitation Game (Descifrando Enigma), El topo), como Stephen Strange. Completan el reparto Tilda Swinton (Cegados por el sol, ¡Ave, César!) como El Anciano, Rachel McAdams (Spotlight, True Detective) como Christine Palmer, Chiwetel Ejiofor (Triple 9, 12 años de esclavitud) como Karl Mordo, Michael Stuhlbarg (Steve Jobs, Boardwalk Empire) como el doctor Nicodemus West, Benedict Wong (Marte (The Martian), Kick Ass 2 - Con un par) como Wong,&amp;nbsp;y Mads Mikkelsen (Hannibal, La caza) como el villano Kaecilius.",/movie_images/Doctor Strange (Doctor Extraño).jpg,https://www.sensacine.com/peliculas/pelicula-130533/trailer-19548543/,"Benedict Cumberbatch,Chiwetel Ejiofor,Tilda Swinton,Rachel McAdams",Scott Derrickson,"Jon Spaihts,Thomas Dean Donnelly,Joshua Oppenheimer"
La princesa Mononoke,"
7 de abril de 2000
",PT02H15M00S,"Drama,Animación","En el siglo XV, durante la era Muromachi, el bosque japonés, protegido en otro tiempo por animales gigantes, está siendo asolado por culpa de los humanos. Un jabalí transformado en un demonio destructor ataca de repente el pueblo de Ashitaka, futuro jefe del clan Emishi. Herido por el jabalí al que ha matado, Ashitaka se ve obligado a partir en busca del dios Ciervo para que levante la maldición que le ha gangrenado el brazo.",/movie_images/La princesa Mononoke.jpg,https://www.sensacine.com/peliculas/pelicula-73176/trailer-19410091/,,Hayao Miyazaki,Hayao Miyazaki
Una mente maravillosa,"
22 de febrero de 2002
",PT02H14M00S,Drama,"John Forbes Nash Jr. (Russel Crow ‘Gladiator’) es un estudiante de la Universidad de Princeton que destaca por su brillantez, su excentricidad y por su competitividad. Desde hace tiempo, ha estado trabajando en una importante teoría sobre los mercados financieros que ha logrado una enorme repercusión, lo que le ha valido para obtener un puesto en el MIT (Instituto Tecnológico de Massachusetts) en el que trabaja en secreto para el gobierno de los Estados Unidos.  Allí conoce a Alicia Lardé (Jennifer Connelly ‘Réquiem por un sueño’), una estudiante de la que se enamora y con la que termina contrayendo matrimonio. Pero la misión de John es muy peligrosa y su vida termina por caer en picado cuando le diagnostican una esquizofrenia paranoide.",/movie_images/Una mente maravillosa.jpg,https://www.sensacine.com/peliculas/pelicula-28384/trailer-19431860/,"Russell Crowe,Ed Harris,Jennifer Connelly,Paul Bettany",Ron Howard,Akiva Goldsman
Los intocables de Eliot Ness,"
2 de octubre de 1987
",PT01H59M00S,Crimen,"Eliot Ness (Kevin Costner), un intrépido e incorruptible agente de la ley, se encarga de mantener el orden en la ciudad de Chicago y de hacer cumplir la Ley Seca. Después de un atentado con bomba en un bar, se embarca en la difícil tarea de acabar con Al Capone (Robert De Niro), quien lleva años aterrorizando a la ciudad.Para detener al mafioso, Ness reúne a un equipo formado por Jim Malone (Sean Connery), un policía a punto de retirarse; Oscar Wallace (Charles Martin Smith), un agente del tesoro; y George Stone (Andy Garcia), un cadete de la policía. Sirviéndose de medios poco convencionales, el equipo se une para llevar ante la justicia al jefe del crimen, pero la falta de pruebas hace difícil su detención, a pesar de estar relacionado con el comercio ilegal de alcohol, corrupción, asesinato y extorsión. El mafioso Capone, al ver que su negocio está en peligro, decide contratar a un asesino a sueldo llamado Frank Nitti (Billy Drago) que se centra en debilitar al equipo de Ness. Pero el agente federal y sus compinches no se rendirán tan fácilmente.",/movie_images/Los intocables de Eliot Ness.jpg,https://www.sensacine.com/peliculas/pelicula-2770/trailer-19456170/,"Kevin Costner,Sean Connery,Charles Martin Smith,Andy Garcia",Brian De Palma,"David Mamet,Oscar Fraley"
Expediente Warren: The Conjuring,"
19 de julio de 2013
",PT01H50M00S,Terror,"'The Conjuring' cuenta la terrorífica historia de la familia Perron; una familia que, en la década de los 70, afirmó haber contactado con espíritus malvados en su domicilio del estado de Rhode Island. Sus presuntos encuentros sobrenaturales fueron estudiados e investigados por Ed y Lorraine Warren (Interpretados en la película por Patrick Wilson y Vera Farmiga). Lorraine es medium y Ed es un reputado investigador. Ambos se dedican al estudio de casos espirituales y paranormales. Lorraine no tarda en descubrir que las apariciones están relacionadas con el espíritu de un niño y una misteriosa caja de música que lleva en la casa varias décadas.James Wan ('Insidious', 'Silencio desde el mal', 'Saw'), especialista en cine de terror y suspense, es el encargado de dirigir esta película de producción francesa y estadounidense que está basada en hechos reales. Su reparto incluye un elenco de actores entre los que se encuentran Vera Farmiga ('El niño con el pijama de rayas', 'La huérfana', 'Código fuente'), Mackenzie Foy ('La saga Crepúsculo: Amanecer'), Patrick Wilson ('Prometheus', 'Morning Glory') y Joey King ('El caballero oscuro. La leyenda renace', 'Oz, un mundo de fantasía').",/movie_images/Expediente Warren: The Conjuring.jpg,https://www.sensacine.com/peliculas/pelicula-203607/trailer-19534010/,"Vera Farmiga,Patrick Wilson,Ron Livingston,Lili Taylor",James Wan,"Chad Hayes,Carey W. Hayes"
Cars,"
7 de julio de 2006
",PT01H36M00S,"Animación,Comedia,Acción,Fantasía","Un pequeño y nuevo coche de carreras, llamado Rayo McQueen, se está preparando para ser un experto corredor y convertirse en uno de los automóviles más respetados en el panorama internacional. Un día toma la decisión de cambiar por completo su vida y se dirige a Radiator Springs, un pequeño y desértico pueblo donde hace nuevos amigos y comprenderá el verdadero sentido de su existencia. Allí entablará una buena relación con el Porsche Sally, Doc Hudson y Mater, una vieja camioneta que le hará comprender que hay cosas más importantes que los trofeos y la fama, algo que sin duda había sido el propósito del protagonista desde que se comprometió a participar en el mundo de las carreras. ¿Podrá Rayo McQueen dejar de lado todas estas cosas y centrarse en lo que de verdad merece la pena?",/movie_images/Cars.jpg,https://www.sensacine.com/peliculas/pelicula-55774/trailer-19348984/,,John Lasseter,"John Lasseter,Dan Fogelman,Dan Gerson,Joe Ranft"
Los Increíbles,"
26 de noviembre de 2004
",PT02H03M00S,"Animación,Acción,Comedia,Familia,Aventura","Bob Paar era Mr. Increíble, uno de los superhéroes más importantes del mundo, la persona a la que todos acudían cuando necesitaban ayuda y la que se encargaba de frenar las intenciones de los villanos más peligrosos del mundo.Han pasado 15 años desde que Bob se enfundase por última vez el traje de superhéroe, ahora vive con su mujer Helen, que también posee superpoderes -es Elastigirl-, y sus tres hijos. Retirados de la vida de superhéroes, han adoptado una identidad diferente para comenzar una vida nueva lejos de los peligros que corrían 15 años atrás. El fan número uno de Mr. Increíble, harto de los desprecios de éste, decide convertirse en Síndrome, un temible villano. Mr Increíble, cansado de la rutina y de los kilos de más que su nueva vida le ha proporcionado, se trasladará a una misteriosa misión que ha llegado a sus oídos a través de una enigmática comunicación para volver a sentirse un superhéroe de verdad. No estará solo en tan peligrosa tarea, su mujer Elastigirl, su amigo Frozono y sus tres hijos, Violeta, Dash y Jack-Jack le ayudarán a frenar los planes del chiflado Síndrome.",/movie_images/Los Increíbles.jpg,https://www.sensacine.com/peliculas/pelicula-53096/trailer-19349103/,,Brad Bird,Brad Bird
¡Qué bello es vivir!,"
27 de marzo de 1948
",PT02H09M00S,"Comedia dramática,Fantasía,Drama,Comedia","Clarence (Henry Travers), un ángel de segunda clase, es enviado a la Tierra con la misión de convencer a George Bailey (James Stewart, 'Historias de Filadelfia'), un honrado ciudadano de la pequeña localidad de Bedford Falls, de que no se suicide. El ángel debe mostrar a George cuál habría sido la vida de aquellos que le rodean si él no hubiera existido. Con un acusado sentido del deber, a lo largo de su existencia, Bailey siempre ha sacrificado sus sueños por el bien común. Desde pequeño su intervención resulta decisiva para salvar de la muerte a su hermano menor, en un accidente en un lago helado. También evita un error fatal del boticario para el que trabaja. Estas y otras muchas buenas acciones de Bailey han hecho de Bedford Falls un sitio mejor. El objetivo de Clarence es que así lo vea George, insuflándole fuerzas para que pueda seguir adelante con su vida. Si lo consigue, Clarence obtendrá unas alas que todavía no le han sido concedidas.",/movie_images/¡Qué bello es vivir!.jpg,https://www.sensacine.com/peliculas/pelicula-5762/trailer-19523560/,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell",Frank Capra,"Frances Goodrich,Albert Hackett,Frank Capra,Jo Swerling,Dalton Trumbo,Clifford Odets,Michael Wilson,Philip Van Doren Stern,Philip Van Doren Stern"
Una cuestión de tiempo,"
18 de octubre de 2013
",PT02H03M00S,Romántico,"Tim Lake (Domhnall Gleeson, Anna Karenina) descubre a los 21 años que tiene, al igual que todos los hombres de su familia, la capacidad de viajar en el tiempo. Al enterarse que posee esta cualidad, Tim empieza a beneficiarse de ello para cambiar diferentes aspectos de su vida. Un día, al trasladarse desde Cornwall a Londres por su trabajo como abogado conoce a Mary (Rachel McAdams,&amp;nbsp;Midnight in Paris). Ambos se enamoran, pero un incidente en uno de los viajes en el tiempo hace que su encuentro nunca se haya producido. Tim no está dispuesto a dejar que Mary desaparezca de su vida y, finalmente, tras muchos viajes para revivir su primer encuentro, consigue que ella se vuelva a fijar en él.

Una vez ha conseguido conquistar a Mary, Tim sigue utilizando su don para hacer la vida de ambos más placentera, pero se acaba dando cuenta que su don no les puede librar de todos los percances que afectan a la familia a lo largo de su vida. Además, también descubre que viajar en el tiempo tiene sus límites y puede resultar incluso peligroso.",/movie_images/Una cuestión de tiempo.jpg,https://www.sensacine.com/peliculas/pelicula-201760/trailer-19534286/,"Domhnall Gleeson,Bill Nighy,Rachel McAdams,Lydia Wilson",Richard Curtis,Richard Curtis
