title,release_date,runtime,genre/s,description,image,trailer,actors,director,writers
El padrino,"
20 de octubre de 1972
",PT02H55M00S,"Crimen,Drama","En el verano de 1945, se celebra la boda de Connie (Talia Shire) y Carlo Rizzi (Gianni Russo). Connie es la única hija de Don Vito Corleone (Marlon Brando), jefe de una de las familias que ejercen el mando de la Cosa Nostra en la ciudad de Nueva York. Don Vito además tiene otros tres hijos: su primogénito Sonny (James Caan), el endeble Fredo (John Cazale) y el más joven se todos, Michael (Al Pacino), un marine condecorado por su lucha en la Segunda Guerra Mundial que acaba de regresar a su hogar en Nueva York. Por designios de la fortuna, Michael terminará llevando la vida que no deseaba, tomando las riendas del negocio familiar, cambiando su moral y sus valores, para defender a toda costa a su familia.",/movie_images/El padrino.jpg,https://www.sensacine.com/peliculas/pelicula-1628/trailer-19558886/,"Marlon Brando,Al Pacino,James Caan,Robert Duvall",Francis Ford Coppola,"Francis Ford Coppola,Mario Puzo,Mario Puzo"
Cadena perpetua,"
24 de febrero de 1995
",PT02H20M00S,Drama,"En 1947, Andy Dufresne (Tim Robbins), un joven banquero, es condenado a cadena perpetua por asesinar a su esposa y su amante. A pesar de declararse inocente, es encarcelado en Shawshank, el penitenciario más duro del estado de Maine. Allí se encontrará con Red Redding (Morgan Freeman), un hombre desilusionado, encarcelado desde hace más de veinte años. Es cuando empieza una gran historia de amistad entre los dos hombres, sin un pasado, un presente y un futuro. Andy Dufresne no tendrá más remedio que ir haciéndose a la idea de su terrible situación, donde, por lo menos, su compañero Redding le será de gran ayuda. &amp;nbsp;
Frank Darabont (Mob City, The Walking Dead) es el encargado de dirigir y escribir esta apasionante historia, la cual es una adaptación de la novela publicada en su día por Stephen King titulada Rita Hayworth y la redención de Shawshank. Además, el reparto está integrado por diferentes actores que cuentan con un gran reconocimiento en el mundo del séptimo arte como son Tim Robbins (The Spoils of Babylon, The Brink) o Morgan Freeman (El caballero oscuro, We the People).",/movie_images/Cadena perpetua.jpg,https://www.sensacine.com/peliculas/pelicula-11736/trailer-19535101/,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler",Frank Darabont,"Frank Darabont,Stephen King,Stephen King"
Pulp Fiction,"
13 de enero de 1995
",PT02H29M00S,"Crimen,Suspense","Jules Winnfield (Samuel L. Jackson, Jackie Brown) y Vincent Vega (John Travolta, Grease) son dos asesinos a sueldo que trabajan a las órdenes del temido gángster Marsellus Wallace (Ving Rhames, Amanecer de los muertos), quien les encarga la importante misión de recuperar su misterioso maletín, que ha sido robado. Ahí empezarán todos sus problemas. Los dos criminales son polos opuestos que deberán trabajar juntos para cumplir su cometido. De forma paralela, Vincent tendrá que hacerse cargo de Mia Wallace (Uma Thurman, Kill Bill), la peculiar novia de su jefe, a petición del mismo, mientras él pasa unos días fuera de la ciudad. Su compañero Jules le recomienda que vaya con cautela, pues la atractiva mujer le puede meter en problemas. Mientras, el boxeador Butch Coolidge (Bruce Willis, El sexto sentido) debe perder una importante pelea, pues ha sido sobornado por Wallace para participar en este combate amañado, y la pareja formada por Pumpkin/Ringo (Tim Roth, Reservoir Dogs) y Honey Bunny/Yolanda (Amanda Plummer, Mi vida sin mí) decidirá atracar un establecimiento debido a su lamentable situación laboral. Esta película de culto escrita y dirigida por Quentin Tarantino (Reservoir Dogs, Malditos bastardos) se convirtió en todo un icono de la década de los noventa y en uno de los filmes mejor valorados de la historia. Además de los mencionados, cuenta en su reparto con Harvey Keitel (El gran hotel Budapest), Maria de Medeiros (Mi vida sin mí), Eric Stoltz (El efecto mariposa), Rosanna Arquette (El gran azul) y Christopher Walken (Atrápame si puedes).",/movie_images/Pulp Fiction.jpg,https://www.sensacine.com/peliculas/pelicula-10126/trailer-19553934/,"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis",Quentin Tarantino,"Quentin Tarantino,Roger Avary"
Up,"
30 de julio de 2009
",PT01H35M00S,"Animación,Familia,Fantasía","Cuando amenazan con demoler su vivienda para construir un establecimiento, Carl Fredricksen, un antiguo vendedor de globos de 78 años, decide que ha llegado el momento de hacer realidad el sueño que siempre había compartido con su ya difunta esposa Ellie: explorar Sudamérica a lo largo y a lo ancho del continente. Sin pensárselo mucho, el anciano ata su casa a miles de globos y emprende un viaje a través del aire.Sin embargo, la alegría del Sr. Fredicksen comienza a esfumarse cuando descubre que no está solo, sino que Russell, un pequeño boy scout vendedor de galletas, viaja con él. A diferencia del anciano, el niño está encantado con haberse incorporado al viaje en el último momento y ambos vivirán un viaje repleto de aventuras alucinantes, paisajes incomparables y, por desgracia, también de peligros.Up es una película de animación dirigida por  Pete Docter y   Bob Peterson. Algunos de los actores que ponen voz a los personajes son&amp;nbsp;Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo y David Kaye, entre otros. ",/movie_images/Up.jpg,https://www.sensacine.com/peliculas/pelicula-130368/trailer-18847755/,,"Pete Docter,Bob Peterson","Bob Peterson,Pete Docter,Pete Docter,Tom McCarthy,Bob Peterson"
Infiltrados,"
27 de octubre de 2006
",PT02H30M00S,"Crimen,Drama","Al sur de Boston la policía estatal lleva años luchando contra el crimen organizado. Billy Costigan (Leonardo DiCaprio, ‘Origen', ‘Atrápame si puedes’), un policía novato que ha crecido rodeado de crímenes, será el topo perfecto para infiltrarse en la mafia; no sólo ha sido entrenado para ello sino que ha permanecido en la cárcel un tiempo para aumentar su credibilidad. Su misión es ganarse la confianza del capo principal, Frank Costello (Jack Nicholson, 'Ahora o nunca', ‘Alguien voló sobre el nido del cuco’), y ayudar a la policía a desarticular el grupo mafioso.&amp;nbsp;  Pero las cosas no serán tan fáciles. Colin Sullivan (Matt Damon, 'Un lugar para soñar', ‘El ultimátum de Bourne’), un policía que cuenta con un puesto importante en la Unidad Especial de Investigación, se interpondrá en su camino. Aunque parece el perfecto oficial, ha sido entrenado por Costello para infiltrarse dentro de la policía del estado de Massachusetts...
Esta película dramática y de crimen norteamericana, ganadora del Oscar en la categoría de Mejor Película, ha sido dirigida por Martin Scorsese (‘Uno de los nuestros’).",/movie_images/Infiltrados.jpg,https://www.sensacine.com/peliculas/pelicula-55983/trailer-19358233/,"Ray Winstone,Leonardo DiCaprio,Matt Damon,Jack Nicholson",Martin Scorsese,William Monahan
La habitación,"
26 de febrero de 2016
",PT01H58M00S,"Drama,Suspense","Como cualquier madre, Joey (Brie Larson) se dedica enteramente al cuidado de su hijo Jack (Jacob Tremblay), un niño de cinco años, al que cría para que sea feliz y esté seguro, haciendo las cosas típicas como jugar o contar historias. Su vida, sin embargo, es cualquier cosa menos típica: ambos están atrapados, confinados en un reducido cubículo sin ventanas, un dormitorio con cocina, retrete, bañera y una claraboya en el techo, al que Ma ha llamado eufemísticamente 'La habitación'. Por la noche, la madre pone a su hijo a dormir en el armario, para protegerlo, por si viene el viejo Nick (Sean Bridgers). Dentro de esa habitación, Ma ha creado todo un universo para Jack, y ella no se detendrá ante nada para asegurarse de que, incluso en este entorno traicionero, Jack sea capaz de vivir una vida completa y satisfactoria. El motivo de que madre e hijo vivan en esa 'habitación' pone los pelos de punta: Ma fue secuestrada por un desalmado cuando ella tenía diecinueve años e iba camino de la universidad. Lleva siete años cautiva, sin ver la luz del sol, viviendo recluida en esa pequeña habitación, cinco de ellos junto a su pequeño hijo Jack. Para el niño esa habitación es el único hogar que ha conocido, su mundo entero, es el lugar donde nació, donde come, juega y aprende con su madre. Con gran tesón e ingenio, Ma ha hecho todo lo posible para crear allí dentro un espacio agradable para su hijo, cuyo amor es lo único que le permite soportar lo insoportable. Pero a medida que la curiosidad de Jack sobre su situación crece, y también aumenta la desesperación de su madre, se proponen un arriesgado plan para escapar, algo que para ellos significará enfrentarse cara a cara con algo que puede ser más espantoso todavía: el mundo real. Y es que la habitación no podrá ser un sitio que les albergue por mucho más tiempo.Esta adaptación del libro Room de Emma Donoghue está dirigida por el irlandés Lenny Abrahamson (Frank, Garage) y protagonizada por Brie Larson (Y de repente tú, Don Jon, Scott Pilgrim contra el mundo). Completan el reparto Sean Bridgers (Trumbo, Lo mejor de mí), Joan Allen (Un buen matrimonio, El legado de Bourne), William H. Macy (El atraco, Inland Empire), Joe Pingue (Maps to the Stars, Pacific Rim) y el niño Jacob Tremblay (Before I Wake).",/movie_images/La habitación.jpg,https://www.sensacine.com/peliculas/pelicula-228263/trailer-19544391/,"Brie Larson,Jacob Tremblay,Joan Allen,William H. Macy",Lenny Abrahamson,
Aladdin,"
19 de noviembre de 1993
",PT01H30M00S,"Animación,Comedia musical,Romántico","En Agrabah, Aladdin sobrevive gracias a lo que roba en el zoco, siempre con la inestimable ayuda de su mono y amigo, Abú. Un día conoce a una bella joven por la que se siente profundamente atraído de inmediato. Aunque lo que Aladdin no sabía es que se trataba de la princesa Jasmín, quien suele pasear por la ciudad de incógnito. Ambos sabrán que están hechos el uno para el otro. Sin embargo, su historia de amor está condenada de antemano, pues, según prescribe la ley, Jasmín debe casarse con un príncipe antes de que cumpla 16 años. No obstante, un incidente cambia el curso de los acontecimientos: el poderoso Jafar, que conspira para hacerse con el poder del emirato, convence a Aladdin para que le consiga una lámpara de aceite con poderes mágicos, que se encuentra en el fondo de una cueva. El joven encuentra la lámpara, de la que, al frotarla accidentalmente, surge un genio con poder para concederle tres deseos. A partir de ese momento la suerte de Aladdin cambiará de forma irreversible.",/movie_images/Aladdin.jpg,https://www.sensacine.com/peliculas/pelicula-8640/trailer-19501251/,,"John Musker,Ron Clements","Ron Clements,John Musker,Ted Elliott,Terry Rossio,Ed Gombert,Burny Mattinson,Daan Jippes,Kevin Harkey,Sue C. Nichols,Francis Glebas,Darrell Rooney,Larry Leker,James Fujii,Kirk Hanson,Kevin Lima,Rebecca Rees,David S. Smith,Chris Sanders,Brian Pimental,Patrick A. Ventura,Roger Allers"
Spider-Man: Homecoming,"
28 de julio de 2017
",PT02H13M00S,"Acción,Aventura","Peter Parker (Tom Holland, Uncharted) es un adolescente que estudia en la escuela secundaria mientras lidia con los problemas típicos de un chico de su edad. Aunque en realidad su día a día no es del todo normal. Y es que Peter esconde una identidad secreta, la de Spiderman. Así que tiene que compaginar su vida en el instituto con su labor de superhéroe que se enfrenta a todos aquellos villanos que ponen en peligro la ciudad, sin ser descubierto. Emocionado tras haber luchado con Los Vengadores, Peter regresará a su rutina junto a su tía May (Marisa Tomei), pero la adaptación no será tan fácil como parecía. Por suerte contará con la ayuda de Tony Stark (Robert Downey Jr.), su ahora amigo y mentor, que le recomendará mantenerse alejado de los problemas. No obstante, esto se volverá una tarea imposible cuando un nuevo enemigo, conocido como El Buitre (Michael Keaton), amenace a Peter y a sus seres queridos. Jon Watts (Coche policial, The Onion News Network) dirige esta nueva película sobre las aventuras de Spiderman, personaje interpretado por el actor Tom Holland (Capitán América: Civil War, En el corazón del mar). Completan el reparto Marisa Tomei (La gran apuesta, Y de repente tú), Robert Downey Jr (Vengadores: La era de Ultrón, Sherlock Holmes: Juego de sombras), Zendaya (K.C. Agente Especial, Shake It Up!), Donald Glover (Atlanta, Marte (The Martian)), Tony Revolori (La quinta ola, El gran hotel Budapest) y Michael Keaton (El fundador, Spotlight).",/movie_images/Spider-Man: Homecoming.jpg,https://www.sensacine.com/peliculas/pelicula-209778/trailer-19553914/,"Tom Holland,Michael Keaton,Robert Downey Jr.,Zendaya",Jon Watts,"Jon Watts,Christopher D. Ford,Chris McKenna,Erik Sommers,Jonathan Goldstein (XII),John Francis Daley,Steve Ditko,Stan Lee,Jonathan Goldstein (XII),John Francis Daley"
Deadpool 2,"
18 de mayo de 2018
",PT02H00M00S,"Acción,Comedia,Aventura","Wade Wilson (Ryan Reynolds), el mutante conocido como Deadpool y el antihéroe más gamberro de Marvel tiene que vérselas esta vez con Cable (Josh Brolin). El poderoso villano ha secuestrado a un chaval llamado Russell (Julian Dennison). Para salvar al joven, el desvergonzado mutante decide montar un hiper-mega escuadrón al que, por toda la cara, va a llamar X-Force. En este escuadrón estarán Domino (Zazie Beetz), Estrella Rota (Lewis Tan), Negasonic (Brianna Hildebrand), Zeitgeist (Bill Skarsgård), Yukio (Shioli Kutsuna), Coloso (Stefan Kapicic) y Bedlam (Terry Crews). Con su característica irreverencia, el antihéroe deberá demostrar a Cable que es un héroe y no solo un payaso.Esta secuela de Deadpool (2016) está dirigida por David Leitch (Atómica, John Wick (Un buen día para matar)) y cuenta con un guión escrito de nuevo por los guionistas de Bienvenidos a Zombieland (2009), Rhett Reese y Paul Wernick. Ryan Reynolds (El otro guardaespaldas, Life (Vida)) repite su papel como Wade Wilson. Completan el reparto los actores Josh Brolin (Vengadores: Infinity War) como su némesis Cable, Zazie Beetz (Atlanta) como Domino, Bill Skarsgård (It) como Zeitgeist, Lewis Tan (Juego de ladrones. El atraco perfecto) como Estrella Rota, Brianna Hildebrand (The Exorcist) como Negasonic, Shioli Kutsuna (The Outsider) como Yukio, Stefan Kapicic (Counterpart) como Coloso y Terry Crews (Brooklyn Nine-Nine) como Bedlam, además de T.J. Miller (Ready Player One) como Weasel y Morena Baccarin (Gotham) en el papel de Vanessa.",/movie_images/Deadpool 2.jpg,https://www.sensacine.com/peliculas/pelicula-245006/trailer-19558292/,"Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison",David Leitch,"Rhett Reese,Paul Wernick,Ryan Reynolds,Rob Liefeld"
Fargo,"
21 de junio de 1996
",PT01H37M00S,"Crimen,Drama","Jerry Lundegaard es un vendedor de coches de una pequeña ciudad de Minnesota que se encuentra lleno de deudas y problemas económicos, por lo que decide llevar a cabo un plan desesperado: contratar a dos mafiosos para que secuestren a su mujer y pedir un importante rescate a su millonario padre.Lo que parecía un trabajo sencillo termina desembocando en una serie de asesinatos, provocando que la justicia comience a investigar de cerca y el plan de Jerry se tambaleé.Los hermanos Ethan y Joel Coen dirigen este thriller negro ganador de dos Oscars (Mejor actriz y Mejor guión original).",/movie_images/Fargo.jpg,https://www.sensacine.com/peliculas/pelicula-14928/trailer-19533725/,"William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare","Joel Coen,Ethan Coen","Ethan Coen,Joel Coen"
