title,release_date,runtime,genre/s,categories_id,description,image,trailer,actors,director,writers
DC Liga de Supermascotas,2022/07/29,100,,"9,8,4,19","Película de animación protagonizada por las mascotas de los superhéroes de DC Cómics. Una pandilla que se dedica a la lucha contra el crimen mientras sus dueños, Superman, Batman, Aquaman, Linterna Verde y Wonder Woman, están de vacaciones. Este filme de Warner Bros. Animation es una adaptación a la gran pantalla de la serie de televisión Super-Pets del canal infantil Cartoon Network.",/movies_images/dc-liga-de-supermascotas.jpg,https://www.youtube.com/embed/SAhqhDLSNqk,,"Jared Stern,Sam Levine","Jared Stern,John Whittington (V),Jerry Siegel,Joe Shuster"
Mr. Wain,2022/06/09,111,,"13,5","Película nspirada en la historia real del británico Louis Wain, un artista, inventor y empresario, que movió cielo y tierra para cuidar de sus cinco hermanas y su madre. Su vida da un vuelco cuando conoce a Emily, el amor de su vida, y ambos adoptan a Peter, un gato callejero. La joven y el animal se convertirán tanto en su familia como en su inspiración para pintar las extraordinarias imágenes de felinos que lo hicieron mundialmente famoso y cambiaron nuestra forma de ver la vida para siempre.",/movies_images/mr.-wain.jpg,https://www.youtube.com/embed/Byc95z4jhCM,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Toby Jones",Will Sharpe,Will Sharpe
Tenor,2022/06/09,100,,14,"Mientras tiene un trabajo precario como repartidor de sushi, Antoine (Mohamed Belkhir), un joven aspirante a cantante de hip hop de los bajos fondos de París, conoce a la Sra. Loiseau (Michèle Laroque), una eminente profesora de la Ópera parisina. Deslumbrada por el talento del joven, ella lo introduce en el mundo de la canto y le ofrece un puesto como alumno suyo.Temiendo que no le entiendan, Antoine, no dice nada a sus allegados, pero esta doble vida lo agobia. En algún lugar entre la dorada y encorsetada clase alta parisina y los duros suburbios en los que creció, Antoine tendrá que encontrar su propia voz.",/movies_images/tenor.jpg,https://www.youtube.com/embed/cAWDlTpcXsA,"Michèle Laroque,Guillaume Duhesme,Samir Decazza,Stéphane Debac",Claude Zidi Jr.,"Cyrille Droux,Raphaël Benoliel,Claude Zidi Jr."
El insoportable peso de un talento descomunal,2022/06/17,108,,"2,14","La historia sigue al actor Nicolas Cage, que está desesperado por conseguir un papel para una película de Quentin Tarantino. Además de eso, mantiene una relación muy tensa con su hija adolescente y está hasta arriba de deudas. Estas deudas le obligan a aparecer en la fiesta de cumpleaños de un multimillonario mexicano que es fanático del trabajo del actor en sus anteriores películas, con la intención de mostrarle un guion en el que ha estado trabajando.&amp;nbsp;Mientras se une con el hombre, la CIA le informa que el multimillonario es en realidad un capo del cartel de la droga que ha secuestrado a la hija de un candidato a la presidencia de México. Tras esto, es reclutado por el gobierno de Estados Unidos para obtener información.",/movies_images/el-insoportable-peso-de-un-talento-descomunal.jpg,https://www.youtube.com/embed/uSB5jsS-vDo,"Nicolas Cage,Pedro Pascal,Alessandra Mastronardi,Jacob Scipio",Tom Gormican,"Tom Gormican,Kevin Etten"
After. Amor infinito,2022/08/26,119,,"5,11","La relación de Tessa Young (Josephine Langford) y Hardin Scott (Hero Fiennes-Tiffin) ha pasado por muchas dificultades que, por otro lado, han conseguido que su unión y su amor se fortalezcan. Cuando la verdad sobre sus familias ha salido a la luz, ambos han descubierto que no son tan diferentes como pensaban. Tessa ya no es esa chica dulce y buena que llegó a la universidad, y Hardin ya no es el chico cruel del que se enamoró. Ella es la única persona capaz de compender, entender y calmar a Hardin, pero el secreto que esconde es tan grande que provoca que él se aleje de absolutamente todo. Incluso de su alma gemela.Esta última entrega de la saga está basada en la novela homónima escrita por Anna Todd.",/movies_images/after.-amor-infinito.jpg,https://www.youtube.com/embed/24_Q_F5PXjg,"Josephine Langford,Hero Fiennes Tiffin,Chance Perdomo,Stephen Moyer",Castille Landon,Anna Todd
Black Phone,2022/06/24,103,,"3,1","Un sádico asesino secuestra a Finney Shaw, un chico tímido e inteligente de 13 años, y le encierra en un sótano insonorizado donde de nada sirven sus gritos. Cuando un teléfono roto y sin conexión empieza a sonar, Finney descubre que a través de él puede oír las voces de las anteriores víctimas, las cuales están decididas a impedir que Finney acabe igual que ellas.",/movies_images/black-phone.jpg,https://www.youtube.com/embed/XhcEnHDKHco,"Mason Thames,Madeleine McGraw,Ethan Hawke,Jeremy Davies",Scott Derrickson,"Scott Derrickson,C. Robert Cargill,Joe Hill"
Elvis,2022/06/24,159,,"13,22","Filme biográfico en torno a la vida y la música de Elvis Presley (Austin Butler), enfocadas de su compleja relación con su misterioso agente: el coronel Tom Parker (Hanks). La película ahonda en la complicada dinámica entre Presley y Parker a lo largo de más de 20 años, desde el ascenso a la fama de Presley hasta su estrellato sin precedentes. Todo ello tras el telón de la evolución cultural y la madurez social en Estados Unidos. En el centro de ese viaje está una de las personas más importantes e influyentes en la vida de Elvis, Priscilla Presley (Olivia DeJonge).",/movies_images/elvis.jpg,https://www.youtube.com/embed/r5KmbYkCxJo,"Austin Butler,Tom Hanks,Olivia DeJonge,Helen Thomson",Baz Luhrmann,"Baz Luhrmann,Craig Pearce,Jeremy Doner"
Todo a la vez en todas partes,2022/06/03,139,,"12,2,14","Evelyn Wang (Michelle Yeoh) es una mujer china residente en Estados Unidos, cuyo matrimonio no atraviesa por su mejor momento y que pasa su vida entre las paredes de su pequeño apartamento y la lavandería que regenta. Tampoco parece tener una buena relación con su hija Joy (interpretada por Stephanie Hsu), ya que no aprueba del todo el noviazgo de la joven con una chica caucásica: Tallie Medel. Por si fuera poco, atraviesa por problemas económicos para mantener su negocio a flote y tiene a el departamento de Hacienda mirando con lupa todos sus pasos.La historia da un giro cuando se ve arrastrada involuntariamente a una increíble aventura mientras se encuentra en un edificio gubernamental tratando de poner sus cuentas en orden, en la que sólo ella puede salvar el mundo explorando otros universos relacionados con las vidas que podría haber llevado.",/movies_images/todo-a-la-vez-en-todas-partes.jpg,https://www.youtube.com/embed/PkhHfhmC6cA,"Michelle Yeoh,Ke Huy Quan,Jamie Lee Curtis,Stephanie Hsu","Daniel Scheinert,Daniel Kwan","Daniel Scheinert,Daniel Kwan"
Jurassic World: Dominion,2022/06/09,146,,"2,4,12","Esta nueva entrega transcurre cuatro años después de la destrucción de Isla Nublar vista en Jurassic World: El reino caído. Ahora, los dinosaurios conviven con los seres humanos en todo el mundo. Este frágil equilibrio cambiará el futuro y decidirá, de una vez por todas, si las personas seguirán siendo los principales depredadores en un planeta que comparten con los animales más temibles de la creación.&amp;nbsp;Owen Grady (Chris Pratt), el experto en rapaces, regresa en una nueva aventura junto a Claire Dearing (Bryce Dallas Howard), la guía del parque. Esta tercera entrega de la saga Jurassic World,&amp;nbsp;basada en los libros de Michael Crichton, la&amp;nbsp;produce Steven Spielberg (Ready Player One, Los archivos del Pentágono).",/movies_images/jurassic-world-dominion.jpg,https://www.youtube.com/embed/RJ4b1ZQxPmE,"Chris Pratt,Bryce Dallas Howard,Jeff Goldblum,Laura Dern",Colin Trevorrow,"Emily Carmichael,Colin Trevorrow,Michael Crichton,Colin Trevorrow,Derek Connolly"
Lightyear,2022/06/17,100,,"9,4,14,19,12","La película cuenta los orígenes de Buzz Lightyear, el héroe que inspiró el juguete, y nos da a conocer la historia de este legendario Guardián Espacial narrada como una apasionante aventura intergaláctica. &quot;El mundo de Buzz siempre me ha fascinado&quot;, ha declarado el director Angus MacLane. &quot;En Toy Story se vislumbraba apenas la historia de este Guardián Espacial y siempre quise explorar ese mundo más a fondo. '¿Qué película vio Andy para desear tener un juguete de Buzz Lightyear?' Esta es la pregunta que formulé al presentar el proyecto de Lightyear y yo quería ver esa película. Y he tenido la suerte de hacerlo realidad&quot;.",/movies_images/lightyear.jpg,https://www.youtube.com/embed/F10ab47cmYw,,Angus MacLane,"Angus MacLane,Pete Docter"
